--- [FETCH] 开始同步OpenDigger数据 ---
✅ 成功写入DB: github/pytorch/pytorch - openrank
✅ 成功写入DB: github/pytorch/pytorch - activity
✅ 成功写入DB: github/pytorch/pytorch - stars
✅ 成功写入DB: github/pytorch/pytorch - participants
✅ 成功写入DB: github/huggingface/transformers - openrank
✅ 成功写入DB: github/huggingface/transformers - activity
✅ 成功写入DB: github/huggingface/transformers - stars
✅ 成功写入DB: github/huggingface/transformers - participants
✅ 成功写入DB: github/langchain-ai/langchain - openrank
✅ 成功写入DB: github/langchain-ai/langchain - activity
✅ 成功写入DB: github/langchain-ai/langchain - stars
✅ 成功写入DB: github/langchain-ai/langchain - participants
✅ 成功写入DB: github/vllm-project/vllm - openrank
✅ 成功写入DB: github/vllm-project/vllm - activity
✅ 成功写入DB: github/vllm-project/vllm - stars
✅ 成功写入DB: github/vllm-project/vllm - participants
✅ 成功写入DB: github/run-llama/llama_index - openrank
✅ 成功写入DB: github/run-llama/llama_index - activity
✅ 成功写入DB: github/run-llama/llama_index - stars
✅ 成功写入DB: github/run-llama/llama_index - participants
✅ 成功写入DB: github/ollama/ollama - openrank
✅ 成功写入DB: github/ollama/ollama - activity
✅ 成功写入DB: github/ollama/ollama - stars
✅ 成功写入DB: github/ollama/ollama - participants
✅ 成功写入DB: github/deepseek-ai/DeepSeek-Coder - openrank
✅ 成功写入DB: github/deepseek-ai/DeepSeek-Coder - activity
✅ 成功写入DB: github/deepseek-ai/DeepSeek-Coder - stars
✅ 成功写入DB: github/deepseek-ai/DeepSeek-Coder - participants
✅ 成功写入DB: github/QwenLM/Qwen - openrank
✅ 成功写入DB: github/QwenLM/Qwen - activity
✅ 成功写入DB: github/QwenLM/Qwen - stars
✅ 成功写入DB: github/QwenLM/Qwen - participants
✅ 成功写入DB: github/langfuse/langfuse - openrank
✅ 成功写入DB: github/langfuse/langfuse - activity
✅ 成功写入DB: github/langfuse/langfuse - stars
✅ 成功写入DB: github/langfuse/langfuse - participants
✅ 成功写入DB: github/milvus-io/milvus - openrank
✅ 成功写入DB: github/milvus-io/milvus - activity
✅ 成功写入DB: github/milvus-io/milvus - stars
✅ 成功写入DB: github/milvus-io/milvus - participants
✅ 成功写入DB: github/qdrant/qdrant - openrank
✅ 成功写入DB: github/qdrant/qdrant - activity
✅ 成功写入DB: github/qdrant/qdrant - stars
✅ 成功写入DB: github/qdrant/qdrant - participants
✅ 成功写入DB: github/langgenius/dify - openrank
✅ 成功写入DB: github/langgenius/dify - activity
✅ 成功写入DB: github/langgenius/dify - stars
✅ 成功写入DB: github/langgenius/dify - participants
✅ 成功写入DB: github/infiniflow/ragflow - openrank
✅ 成功写入DB: github/infiniflow/ragflow - activity
✅ 成功写入DB: github/infiniflow/ragflow - stars
✅ 成功写入DB: github/infiniflow/ragflow - participants
✅ 成功写入DB: github/microsoft/autogen - openrank
✅ 成功写入DB: github/microsoft/autogen - activity
✅ 成功写入DB: github/microsoft/autogen - stars
✅ 成功写入DB: github/microsoft/autogen - participants
✅ 成功写入DB: github/deepset-ai/haystack - openrank
✅ 成功写入DB: github/deepset-ai/haystack - activity
✅ 成功写入DB: github/deepset-ai/haystack - stars
✅ 成功写入DB: github/deepset-ai/haystack - participants
✅ 成功写入DB: github/huggingface/peft - openrank
✅ 成功写入DB: github/huggingface/peft - activity
✅ 成功写入DB: github/huggingface/peft - stars
✅ 成功写入DB: github/huggingface/peft - participants
✅ 成功写入DB: github/meta-llama/llama3 - openrank
✅ 成功写入DB: github/meta-llama/llama3 - activity
✅ 成功写入DB: github/meta-llama/llama3 - stars
✅ 成功写入DB: github/meta-llama/llama3 - participants
✅ 成功写入DB: github/google/gemma_pytorch - openrank
✅ 成功写入DB: github/google/gemma_pytorch - activity
✅ 成功写入DB: github/google/gemma_pytorch - stars
✅ 成功写入DB: github/google/gemma_pytorch - participants
✅ 成功写入DB: github/lm-sys/FastChat - openrank
✅ 成功写入DB: github/lm-sys/FastChat - activity
✅ 成功写入DB: github/lm-sys/FastChat - stars
✅ 成功写入DB: github/lm-sys/FastChat - participants
✅ 成功写入DB: github/sgl-project/sglang - openrank
✅ 成功写入DB: github/sgl-project/sglang - activity
✅ 成功写入DB: github/sgl-project/sglang - stars
✅ 成功写入DB: github/sgl-project/sglang - participants
✅ 成功写入DB: github/ray-project/ray - openrank
✅ 成功写入DB: github/ray-project/ray - activity
✅ 成功写入DB: github/ray-project/ray - stars
✅ 成功写入DB: github/ray-project/ray - participants
✅ 成功写入DB: github/unslothai/unsloth - openrank
✅ 成功写入DB: github/unslothai/unsloth - activity
✅ 成功写入DB: github/unslothai/unsloth - stars
✅ 成功写入DB: github/unslothai/unsloth - participants
✅ 成功写入DB: github/hiyouga/LLaMA-Factory - openrank
✅ 成功写入DB: github/hiyouga/LLaMA-Factory - activity
✅ 成功写入DB: github/hiyouga/LLaMA-Factory - stars
✅ 成功写入DB: github/hiyouga/LLaMA-Factory - participants
✅ 成功写入DB: github/huggingface/datasets - openrank
✅ 成功写入DB: github/huggingface/datasets - activity
✅ 成功写入DB: github/huggingface/datasets - stars
✅ 成功写入DB: github/huggingface/datasets - participants
✅ 成功写入DB: github/Unstructured-IO/unstructured - openrank
✅ 成功写入DB: github/Unstructured-IO/unstructured - activity
✅ 成功写入DB: github/Unstructured-IO/unstructured - stars
